file_path,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,spec_centroid,spec_bandwidth,spec_contrast_0,spec_contrast_1,spec_contrast_2,spec_contrast_3,spec_contrast_4,spec_contrast_5,spec_contrast_6,spec_rolloff,zero_crossing
audio_speech_actors_01-24\Actor_01\03-01-01-01-01-01-01.wav,-411.33453369140625,68.54141998291016,3.2933976650238037,12.205297470092773,5.51027774810791,13.66740608215332,-2.9838273525238037,3.0980281829833984,-3.3108134269714355,-1.564385175704956,-7.8616509437561035,-2.1242828369140625,2.8492038249969482,0.6619440317153931,0.6534766554832458,0.6185917854309082,0.6136442422866821,0.6288389563560486,0.6176268458366394,0.6302995681762695,0.6411733627319336,0.6439861059188843,0.623945415019989,0.633899450302124,0.6296720504760742,7416.29774496335,5551.291825951946,14.859835468117437,8.485175554193997,11.53613499679481,13.14082353413799,14.896629691258397,15.938653734820626,17.16114753137494,13285.735887096775,0.05047568044354839
audio_speech_actors_01-24\Actor_01\03-01-01-01-01-02-01.wav,-421.0476379394531,70.2015609741211,1.168398141860962,13.122541427612305,7.836949825286865,14.41128921508789,-4.111358642578125,4.4689717292785645,-3.539367437362671,-3.6586079597473145,-7.64850378036499,-1.477077841758728,3.0318210124969482,0.6322879195213318,0.6571940183639526,0.6288536787033081,0.5925068259239197,0.6235445737838745,0.6293038129806519,0.5982503890991211,0.6024273037910461,0.6381043195724487,0.6501099467277527,0.663276731967926,0.6389561891555786,7135.571467542765,5653.771573172611,15.13142407504124,9.101594419890665,12.306145397181135,13.24276818255353,14.79706828699474,16.028109945237112,17.30341925527059,13191.64337060703,0.05290441543530351
audio_speech_actors_01-24\Actor_01\03-01-01-01-02-01-01.wav,-435.9873352050781,69.68934631347656,3.9245636463165283,11.924189567565918,6.421723365783691,11.011612892150879,-2.878103017807007,4.509557247161865,-4.476109027862549,-2.6715500354766846,-7.499283313751221,-2.962266206741333,1.8734846115112305,0.6585757732391357,0.6533428430557251,0.6369238495826721,0.6377143859863281,0.6266025900840759,0.5954111218452454,0.606913685798645,0.6114330887794495,0.6347721815109253,0.5868077874183655,0.5789051651954651,0.6124112010002136,7239.26564839756,5641.048012373666,14.471469599043898,9.08875770784308,12.077312383071867,13.564628290620021,15.356174933600133,16.092042127331048,17.10751755859507,13279.1378257329,0.04662688314332247
audio_speech_actors_01-24\Actor_01\03-01-01-01-02-02-01.wav,-438.8014831542969,67.56488800048828,5.782241344451904,13.230728149414062,6.190845012664795,12.628255844116211,-1.6751693487167358,5.657495975494385,-4.950634002685547,-3.4775447845458984,-7.416557788848877,-1.9370031356811523,2.271526575088501,0.6290957927703857,0.602729856967926,0.589719831943512,0.5667399168014526,0.6303304433822632,0.6468603014945984,0.6199746131896973,0.6118847131729126,0.6339445114135742,0.5979600548744202,0.6021103858947754,0.6199349761009216,7008.958173206621,5802.31533009131,16.239607394207514,8.943197868950332,12.414026770368599,14.054614600786515,15.625618510734924,15.486326185317951,17.372365266950073,13272.152894295303,0.05383546560402685
audio_speech_actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,-402.1931457519531,75.78352355957031,6.023603916168213,14.557392120361328,6.454187393188477,14.63150691986084,-3.004551649093628,4.620969772338867,-5.200016021728516,-0.7074301838874817,-7.790287494659424,-3.564948320388794,2.1809699535369873,0.5568814873695374,0.5957135558128357,0.6107088327407837,0.5900762677192688,0.6063617467880249,0.6200456023216248,0.5943293571472168,0.5965315699577332,0.6165105700492859,0.6383653879165649,0.6705919504165649,0.6028032302856445,6997.311811037615,5518.637358187257,15.227685695014452,9.126892915330393,12.107233978337762,13.334176376156014,15.277862814174977,15.372322959161238,16.627256600868296,12649.543486445784,0.04592932275978916
audio_speech_actors_01-24\Actor_01\03-01-02-01-01-02-01.wav,-397.825439453125,79.09304809570312,8.14105224609375,11.413548469543457,5.174124717712402,15.393282890319824,-2.7520716190338135,2.964582920074463,-5.388971328735352,-1.6918325424194336,-5.852834701538086,-4.043288230895996,3.00464129447937,0.6055415868759155,0.600119948387146,0.615892231464386,0.6468392014503479,0.6694971323013306,0.6534722447395325,0.6718839406967163,0.6592276096343994,0.6611920595169067,0.6497308015823364,0.6541786193847656,0.6409562230110168,6874.560407729876,5416.334835589271,15.535808644162673,8.554383731727588,11.661183842707034,12.838968230740461,14.762991986545726,14.551642333653986,16.296622001531443,12202.755177514793,0.03303843842455621
audio_speech_actors_01-24\Actor_01\03-01-02-01-02-01-01.wav,-414.0284118652344,81.58985900878906,4.8633575439453125,14.423688888549805,5.267687797546387,13.968561172485352,-3.0856173038482666,7.17324686050415,-4.821438789367676,-0.9674479365348816,-6.250472545623779,-3.8666398525238037,3.325518846511841,0.6073977947235107,0.6206045150756836,0.6402097940444946,0.6402176022529602,0.6329777836799622,0.6305133104324341,0.6208935976028442,0.6088845729827881,0.6202652454376221,0.6091499328613281,0.6396042108535767,0.6172810196876526,6853.974888856054,5369.60940570099,16.170402296550332,9.156922801636675,12.318409543144657,13.220192314348111,15.899584771194553,15.631646055258688,17.227278960759666,12272.273936170213,0.045950382313829786
audio_speech_actors_01-24\Actor_01\03-01-02-01-02-02-01.wav,-428.58636474609375,82.3249282836914,7.500576496124268,12.542463302612305,6.788125038146973,14.805658340454102,-2.9095802307128906,6.937838554382324,-4.844339370727539,-1.846924066543579,-5.687709808349609,-3.666653633117676,2.240351438522339,0.5774680376052856,0.5914971828460693,0.5926296710968018,0.5849153995513916,0.5955063700675964,0.6067953109741211,0.616963803768158,0.6304001808166504,0.6594345569610596,0.6362215876579285,0.6472516655921936,0.6064737439155579,6798.674094613879,5458.893124496746,16.405962916660236,9.244830391362111,12.738586231636889,13.755120985731958,16.141508516364016,15.736099748571206,17.531277505123956,12309.504409509202,0.04764336896088957
audio_speech_actors_01-24\Actor_01\03-01-02-02-01-01-01.wav,-399.7904052734375,83.32755279541016,9.759607315063477,14.268046379089355,6.201725959777832,16.020977020263672,-2.8468971252441406,4.470250129699707,-5.536262512207031,0.87879478931427,-5.348248481750488,-3.0295557975769043,2.340573787689209,0.5927865505218506,0.6346522569656372,0.634981632232666,0.6419932246208191,0.6791036128997803,0.7002105116844177,0.7074196934700012,0.6710330247879028,0.6184625029563904,0.5963578820228577,0.6481668949127197,0.6251484155654907,6773.712372894884,5405.020948156371,15.5539432370719,8.035616218773644,11.61309676133296,12.611723905926533,15.394685673122746,14.774255023421773,16.263414074584038,12029.97036637931,0.03624225484913793
audio_speech_actors_01-24\Actor_01\03-01-02-02-01-02-01.wav,-379.5202331542969,82.9915771484375,3.796793222427368,13.411559104919434,3.1084959506988525,16.039552688598633,-5.652945041656494,5.560671329498291,-7.840987205505371,-1.1772106885910034,-5.728785514831543,-4.109694004058838,3.8823816776275635,0.5882435441017151,0.5803617238998413,0.5837789177894592,0.6103137135505676,0.6208350658416748,0.6410723328590393,0.637530505657196,0.636847734451294,0.6010460257530212,0.5712385177612305,0.5941546559333801,0.5983284115791321,6517.976568235957,5341.508577504542,15.633671842154495,8.691298622166006,11.55332498015137,12.979593814521701,15.730037764675727,15.777227912061768,17.733966763014795,11717.44099069149,0.04488291638962766
